rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db,pds_value_loss
176,0,9.5914,5.3691,7.0199,12.0024,6.9088,1.8095,5.2671,0.8534,36.15,-191.52,52.086,91.632739
177,0,9.8367,5.3056,7.3845,11.9466,6.9386,1.8148,5.2902,0.857,36.31,-192.67,52.157,93.240904
178,0,10.2429,5.5758,7.3576,12.1094,6.9679,1.8209,5.3129,0.8565,36.01,-192.956,52.113,92.154645
179,0,10.8411,6.1765,6.9661,12.4985,6.9977,1.8267,5.3358,0.8514,36.15,-193.353,52.013,101.182952
180,0,11.0351,6.1443,7.1401,12.5508,7.027,1.833,5.3587,0.8501,36.22,-194.904,51.963,92.600445
181,0,10.3459,5.8968,7.0089,12.2401,7.0566,1.8396,5.3817,0.8566,36.21,-195.773,52.124,105.171288
182,0,10.279,5.9412,6.9195,12.2183,7.0865,1.8457,5.4049,0.8576,36.46,-197.992,52.069,107.116172
183,0,9.7245,5.9397,6.3196,12.0849,7.1171,1.851,5.4283,0.8541,36.5,-200.351,52.049,108.909257
184,0,10.1085,6.1085,6.4681,12.3,7.1473,1.8572,5.4516,0.8509,36.49,-201.755,51.973,113.131884
185,0,10.3608,6.2997,5.8686,12.3611,7.1776,1.8629,5.4748,0.8523,36.47,-202.655,51.96,110.033543
186,0,10.4771,6.3499,6.0218,12.4272,7.2076,1.869,5.4982,0.8517,36.52,-203.26,51.95,111.509781
187,0,10.6022,6.4831,5.5209,12.4192,7.238,1.875,5.5215,0.8563,36.58,-204.885,52.073,121.795349
188,0,10.4851,6.3989,5.7257,12.3862,7.2683,1.8811,5.5449,0.8594,36.54,-206.463,52.07,120.526845
189,0,10.8903,6.4807,6.5075,12.7021,7.2983,1.8874,5.5681,0.8557,36.46,-206.586,51.986,120.572168
190,0,11.4045,6.6517,6.6728,12.88,7.3286,1.8934,5.5916,0.8546,36.61,-207.6,51.979,118.887474
191,0,12.0937,6.6518,7.2516,12.9903,7.3586,1.9,5.615,0.8516,36.56,-209.035,51.934,119.052281
192,0,11.8253,6.5536,7.2619,12.8098,7.3893,1.9063,5.6388,0.856,36.96,-211.539,51.998,120.618411
193,0,13.4377,6.6787,8.2833,13.2757,7.4196,1.9126,5.6623,0.8522,36.65,-213.108,51.943,122.410297
194,0,13.27,6.8243,7.9007,13.3451,7.4496,1.9191,5.6858,0.8516,36.64,-212.794,51.954,123.234977
195,0,13.0193,6.6077,8.0856,13.126,7.4798,1.9255,5.7092,0.8513,36.6,-213.436,51.946,139.605337
196,0,12.6946,6.7417,7.6758,13.0771,7.5101,1.9322,5.7326,0.8512,36.6,-214.693,51.939,140.816594
197,0,12.5631,6.7982,7.3825,13.1824,7.5404,1.9382,5.7561,0.8485,36.63,-215.984,51.925,118.948942
198,0,12.9141,7.024,7.3471,13.343,7.5711,1.9441,5.7799,0.8493,36.89,-217.545,51.924,127.455551
199,0,13.1936,7.1384,7.409,13.4462,7.6015,1.9505,5.8034,0.8502,36.73,-218.819,51.919,155.487618
200,0,13.0896,7.1665,7.2746,13.4485,7.6319,1.9572,5.827,0.8494,36.74,-219.572,51.912,133.955226
201,0,14.0953,7.695,7.3921,13.8081,7.6627,1.9632,5.8508,0.8487,36.94,-221.628,51.915,144.811103
202,0,14.1999,7.7093,7.4392,13.8514,7.6934,1.9698,5.8747,0.8502,37.01,-223.182,51.919,149.908829
203,0,12.4936,7.1015,6.814,13.3782,7.7241,1.9756,5.8983,0.8473,36.75,-223.808,51.917,144.346154
204,0,12.5809,7.0842,6.9568,13.34,7.7548,1.9817,5.9221,0.8457,36.84,-224.405,51.884,148.25544
205,0,12.3572,7.0845,6.7645,13.3083,7.7853,1.9875,5.9456,0.8502,36.71,-224.999,51.947,142.179303
206,0,11.9353,6.7283,7.0055,13.0015,7.816,1.9935,5.9693,0.8496,36.8,-226.21,51.928,140.63839
207,0,12.8523,6.8289,7.5502,13.2732,7.8466,1.9996,5.9929,0.8508,36.77,-227.3,51.943,162.405064
208,0,12.8003,6.8705,7.509,13.2208,7.8769,2.0059,6.0163,0.8506,36.53,-227.127,51.942,134.25028
209,0,11.8599,6.8618,6.9451,12.853,7.9073,2.0125,6.0396,0.8515,36.5,-227.455,51.982,171.155797
210,0,12.6785,6.9171,7.4616,13.0998,7.9377,2.019,6.0629,0.853,36.54,-228.899,51.988,159.531279
211,0,13.0754,6.484,8.3988,12.9926,7.9684,2.0254,6.0864,0.8534,36.66,-230.792,51.982,153.500721
212,0,12.739,6.0658,8.7393,12.7338,7.9991,2.032,6.1101,0.8529,36.78,-232.641,51.984,177.133196
213,0,13.6143,6.2184,9.1816,13.0143,8.029,2.0387,6.1334,0.8571,36.53,-231.888,52.03,165.981544
214,0,13.4871,6.1141,9.1879,12.9851,8.0588,2.0459,6.1568,0.8565,36.56,-231.544,52.017,175.119349
215,0,13.483,6.3111,8.8164,13.1554,8.0885,2.0524,6.1799,0.8541,36.35,-231.574,51.999,170.822727
216,0,12.9395,6.0211,8.8017,12.9167,8.1185,2.0585,6.2032,0.859,36.43,-232.401,52.046,160.300053
217,0,15.0866,6.5223,9.9808,13.3835,8.149,2.065,6.2266,0.8558,36.67,-235.228,52.009,196.539232
218,0,14.9371,6.5777,9.7612,13.3981,8.1792,2.0715,6.25,0.8576,36.54,-236.902,52.015,177.104913
219,0,15.0227,6.4945,9.9433,13.3849,8.2098,2.0784,6.2736,0.856,36.75,-238.344,51.991,179.168465
220,0,14.913,6.8477,9.3374,13.5279,8.2403,2.0848,6.2972,0.8537,36.72,-239.995,51.987,205.786282
221,0,15.5527,6.7393,10.0547,13.5587,8.2705,2.0918,6.3207,0.8568,36.72,-240.698,51.99,175.146025
222,0,15.745,6.6998,10.3592,13.486,8.3008,2.0986,6.3442,0.8591,36.64,-241.129,52.013,209.999762
223,0,15.9698,6.5792,10.6562,13.5345,8.3314,2.1051,6.3677,0.8569,36.7,-242.972,52.049,206.764877
