rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db
1809,0,0.3182,0.6182,3.7948,7.4916,5.0557,0.0,0.3923,0.8548,16.23,23.14,52.218
1810,0,0.2754,0.5754,3.7948,7.4834,5.0568,0.0,0.3915,0.8549,16.23,23.091,52.252
1811,0,0.3178,0.6178,3.7948,7.4901,5.0581,0.0,0.3908,0.8552,16.28,23.164,52.23
1812,0,0.2664,0.5664,3.7948,7.4725,5.0592,0.0,0.3901,0.8553,16.24,22.999,52.252
1813,0,0.3179,0.6179,3.7948,7.4892,5.0606,0.0,0.3893,0.856,16.21,23.036,52.259
1814,0,0.3202,0.6202,3.7948,7.4932,5.0618,0.0,0.3886,0.8548,16.32,23.056,52.216
1815,0,0.2921,0.5921,3.7948,7.4935,5.0628,0.0,0.3877,0.8558,16.14,23.346,52.258
1816,0,0.2975,0.5975,3.7948,7.4975,5.0641,0.0,0.387,0.8571,16.26,23.261,52.282
1817,0,0.3116,0.6116,3.7948,7.5215,5.065,0.0,0.3862,0.857,16.15,23.498,52.28
1818,0,0.3706,0.6706,3.7948,7.5186,5.0662,0.0,0.3854,0.8547,16.22,23.41,52.254
1819,0,0.3202,0.6202,3.7948,7.5087,5.067,0.0,0.3846,0.8549,16.17,23.584,52.225
1820,0,0.3747,0.6747,3.7948,7.5218,5.068,0.0,0.3837,0.8539,16.18,24.149,52.219
1821,0,0.37,0.67,3.7948,7.5197,5.0692,0.0,0.383,0.8533,16.23,23.948,52.187
1822,0,0.3463,0.6463,3.7948,7.5147,5.0702,0.0,0.3822,0.8563,16.27,23.451,52.265
